Cantidad,Palabras
519,porque
518,europa
517,hombre
516,caso
515,derecho
514,programa
514,tierra
513,natural
511,vale
509,presenta
509,trabajó
507,hija
506,política
501,personas
500,real
500,tan
499,santa
498,manera
495,división
495,estación
492,hermano
487,días
484,teatro
483,igual
482,cabeza
482,libro
481,base
481,disco
481,juega
481,museo
479,televisión
476,población
475,países
474,aún
469,francia
467,arte
467,grande
467,interior
467,llegó
467,unos
466,blanco
465,cuerpo
465,niña
461,lleva
461,pasó
460,joven
455,especies
454,última
452,chile
452,ojos
450,hojas
449,actividad
447,cerca
445,lado
445,público
441,estar
440,ambas
440,importantes
439,proyecto
438,habita
437,muestra
436,militar
435,único
433,distrito
432,sigue
431,mundial
431,oficial
430,parece
429,pues
427,versión
426,cargo
426,mujer
426,selección
425,costa
425,obtuvo
424,diversas
423,suele
422,español
422,padres
420,uso
419,considerado
417,barco
417,edad
416,aparece
416,diversos
416,papel
416,profesor
415,popular
415,república
414,localidad
413,existe
413,fuera
412,ejemplo
410,musical
410,participó
410,rey
409,numerosos
409,ocasiones
408,quiero
407,cine
407,estudio
407,favor
407,nombrado
407,tengo
406,grupos
406,honor
406,vive
405,amor
405,hermanos
404,china
404,ganó
403,meses
401,negro
401,ninguna
399,libros
399,nivel
398,parque
397,desarrollo
397,original
396,jugador
396,área
395,convirtió
395,generalmente
395,pequeño
394,pequeños
394,poder
393,buena
392,dicho
391,estoy
390,alto
388,pronto
386,equipos
386,punto
385,orden
384,miembros
384,áfrica
383,murió
382,conocida
382,movimiento
381,gente
380,partes
380,restos
379,española
379,gracias
378,bosques
378,pertenece
375,servicio
374,todavía
372,incluso
372,proceso
372,puedo
371,resto
371,york
369,tema
366,cualquier
366,mujeres
366,relación
365,campo
365,quedó
364,francisco
364,partir
362,alta
362,juegos
361,asimismo
361,bueno
361,dice
361,estaban
361,menor
361,partidos
361,pequeña
361,zonas
360,cosas
360,matrimonio
359,bastante
358,primero
358,puerto
357,clima
357,jugó
357,única
356,plantas
355,sabe
353,premio
352,tal
351,local
351,sería
350,educación
349,liga
349,radio
348,islas
348,línea
347,brasil
347,buen
347,buenos
347,fuerte
347,parís
346,haber
346,sea
346,superior
344,conoce
344,construcción
344,frente
344,numerosas
343,autor
343,carlos
343,hábitat
342,dicha
341,compañía
340,oeste
338,actor
338,camino
337,utiliza
336,alemania
336,revista
335,diez
335,posición
335,sencillo
334,llamado
333,ante
333,tercera
332,información
331,california
331,hermana
331,incluye
331,niño
331,películas
331,tenemos
330,barrio
330,resultado
329,colegio
329,instituto
328,cambio
326,mal
325,puesto
325,sitio
325,temas
324,castillo
324,civil
324,colombia
323,actividades
322,claro
322,común
322,mediante
322,paso
321,media
321,torneo
320,profesional
320,será
320,verdad
319,nadie
319,pasado
317,batalla
317,mano
317,perú
316,propio
315,suelo
315,últimos
314,escribió
313,dio
313,verde
312,volvió
311,contiene
311,hombres
311,italia
311,personaje
311,social
310,cantante
310,reino
309,amigo
309,amigos
309,calle
309,especialmente
309,oro
309,territorio
308,ningún
307,niños
307,primeras
306,departamento
306,ellas
305,señor
304,menudo
304,trabajos
303,formación
302,australia
302,juntos
301,cabo
301,cultura
300,actriz
300,antigua
300,antiguo
300,ayuda
300,voz
297,decir
297,tuvieron
296,barcelona
296,dios
296,valle
295,tipos
294,considera
294,luis
294,servicios
294,tercer
293,japón
293,queda
293,semana
292,cual
292,diseño
292,economía
292,pequeñas
292,puerta
292,unión
291,hubo
291,quiere
291,similar
290,agricultura
290,victoria
289,azul
289,cementerio
289,obstante
289,plaza
289,siguientes
288,empezó
288,empresa
288,estructura
288,modo
288,novela
288,problemas
288,santiago
287,edición
287,londres
286,luz
285,casado
285,sol
284,dirección
284,john
283,modelo
283,político
283,posible
282,baja
282,dejó
282,pesar
282,sociedad
281,chole
281,comienza
281,pasa
280,críticas
280,fin
280,período
279,acuerdo
279,verano
278,ciencias
278,cruz
278,principio
278,tamaño
277,manos
275,aquel
275,consejo
275,estamos
275,llamada
275,premios
275,situado
274,rojo
273,academia
273,espacio
273,mis
272,conjunto
272,piedra
271,campeón
271,elementos
